Date,Open,High,Low,Close
2022-06-09,7500,7575,7500,7500
2022-06-10,7400,7450,7350,7350
2022-06-13,7300,7400,7275,7350
2022-06-14,7300,7400,7250,7400
2022-06-15,7300,7375,7300,7325
2022-06-16,7400,7600,7375,7575
2022-06-17,7425,7550,7425,7500
2022-06-20,7600,7650,7500,7625
2022-06-21,7600,7650,7550,7650
2022-06-22,7625,7650,7500,7500
2022-06-23,7450,7575,7450,7525
2022-06-24,7600,7600,7475,7475
2022-06-27,7475,7500,7350,7350
2022-06-28,7300,7400,7300,7300
2022-06-29,7325,7400,7275,7275
2022-06-30,7300,7400,7250,7250
2022-07-01,7300,7325,7250,7250
2022-07-04,7250,7275,7000,7050
2022-07-05,7100,7325,7100,7250
2022-07-06,7300,7325,7175,7300
2022-07-07,7225,7250,7100,7100
2022-07-08,7125,7175,7075,7150
2022-07-11,7200,7200,7125,7125
2022-07-12,7175,7250,7150,7175
2022-07-13,7100,7125,7000,7000
2022-07-14,7025,7100,7000,7025
2022-07-15,7100,7100,7000,7000
2022-07-18,7025,7150,7025,7150
2022-07-19,7100,7175,7100,7175
2022-07-20,7200,7400,7175,7400
2022-07-21,7400,7400,7250,7400
2022-07-22,7400,7400,7300,7325
2022-07-25,7350,7375,7300,7300
2022-07-26,7250,7375,7250,7300
2022-07-27,7325,7350,7275,7325
2022-07-28,7375,7450,7325,7350
2022-07-29,7400,7475,7350,7350
2022-08-01,7350,7500,7350,7500
2022-08-02,7600,7625,7500,7600
2022-08-03,7625,7625,7575,7625
2022-08-04,7675,7800,7650,7800
2022-08-05,7825,7875,7725,7875
2022-08-08,7875,7925,7750,7875
2022-08-09,7875,7975,7875,7900
2022-08-10,7800,7900,7725,7900
2022-08-11,7850,7950,7825,7950
2022-08-12,7925,7975,7850,7925
2022-08-15,7950,7975,7900,7950
2022-08-16,7950,7975,7850,7975
2022-08-18,7900,8025,7875,8000
2022-08-19,8050,8050,7900,7900
2022-08-22,7850,8000,7825,8000
2022-08-23,8000,8000,7900,7900
2022-08-24,7950,8025,7900,7950
2022-08-25,8000,8100,7900,8075
2022-08-26,8025,8125,8000,8000
2022-08-29,8000,8150,7950,8150
2022-08-30,8100,8275,8075,8175
2022-08-31,8075,8225,8050,8200
2022-09-01,8150,8250,8125,8150
2022-09-02,8150,8225,8150,8225
2022-09-05,8225,8300,8200,8275
2022-09-06,8300,8350,8250,8275
2022-09-07,8250,8375,8250,8375
2022-09-08,8400,8500,8350,8350
2022-09-09,8500,8500,8275,8375
2022-09-12,8325,8425,8325,8375
2022-09-13,8375,8575,8375,8525
2022-09-14,8375,8650,8375,8500
2022-09-15,8500,8875,8500,8750
2022-09-16,8700,8725,8450,8450
2022-09-19,8475,8750,8450,8650
2022-09-20,8550,8650,8550,8550
2022-09-21,8525,8600,8425,8475
2022-09-22,8375,8525,8375,8475
2022-09-23,8375,8475,8375,8375
2022-09-26,8200,8500,8200,8425
2022-09-27,8375,8450,8300,8300
2022-09-28,8250,8425,8250,8325
2022-09-29,8325,8450,8325,8375
2022-09-30,8375,8575,8275,8550
2022-10-03,8450,8525,8450,8500
2022-10-04,8525,8625,8525,8550
2022-10-05,8525,8550,8425,8450
2022-10-06,8475,8500,8425,8425
2022-10-07,8325,8375,8200,8200
2022-10-10,8150,8375,8125,8300
2022-10-11,8200,8300,8150,8250
2022-10-12,8200,8325,8175,8325
2022-10-13,8275,8375,8275,8275
2022-10-14,8300,8350,8250,8250
2022-10-17,8250,8300,8175,8250
2022-10-18,8275,8475,8250,8300
2022-10-19,8250,8350,8225,8275
2022-10-20,8250,8500,8250,8500
2022-10-21,8450,8725,8450,8650
2022-10-24,8750,8900,8725,8900
2022-10-25,8825,8875,8700,8700
2022-10-26,8625,8650,8550,8550
2022-10-27,8550,8700,8550,8700
2022-10-28,8650,8750,8650,8750
2022-10-31,8850,8850,8775,8800
2022-11-01,9000,9000,8725,8800
2022-11-02,8800,8825,8725,8750
2022-11-03,8700,8825,8700,8800
2022-11-04,8775,8800,8675,8775
2022-11-07,8725,8850,8675,8850
2022-11-08,8850,8875,8725,8750
2022-11-09,8675,8875,8675,8875
2022-11-10,8725,8800,8725,8800
2022-11-11,8900,8925,8825,8850
2022-11-14,8875,8900,8750,8750
2022-11-15,8775,8850,8750,8800
2022-11-16,8625,8675,8550,8600
2022-11-17,8625,8825,8600,8725
2022-11-18,8725,8900,8725,8825
