Date,Open,High,Low,Close
2026-01-07,4890,4900,4800,4810
2026-01-08,4820,4880,4810,4810
2026-01-09,4820,4840,4760,4760
2026-01-12,4780,4850,4720,4770
2026-01-13,4800,4840,4780,4820
2026-01-14,4840,4850,4770,4840
2026-01-15,4840,5075,4830,4990
2026-01-19,5025,5100,4980,5000
2026-01-20,5000,5075,4990,5025
2026-01-21,5025,5025,4930,4990
2026-01-22,4990,5025,4930,4980
2026-01-23,4980,5000,4870,4990
2026-01-26,4910,4970,4870,4910
2026-01-27,4860,4910,4800,4810
2026-01-28,4570,4810,4410,4560
2026-01-29,4420,4640,4070,4630
2026-01-30,4700,4880,4630,4820
2026-02-02,4900,4920,4710,4800
2026-02-03,4830,4850,4710,4830
2026-02-04,4860,5025,4830,5000
2026-02-05,5050,5100,5000,5050
2026-02-06,4950,5050,4890,5050
2026-02-09,5050,5075,4950,5000
2026-02-10,5000,5100,4990,5100
2026-02-11,5075,5100,4990,5025
2026-02-12,5025,5075,5000,5075
2026-02-13,5050,5075,4970,5075
2026-02-18,5075,5275,5050,5275
2026-02-19,5275,5300,5050,5075
2026-02-20,5100,5175,5050,5125
2026-02-23,5150,5275,5150,5275
2026-02-24,5275,5375,5250,5375
2026-02-25,5350,5375,5300,5300
2026-02-26,5350,5350,5200,5325
2026-02-27,5325,5350,5275,5275
2026-03-02,5125,5175,5050,5075
2026-03-03,5100,5175,5050,5100
2026-03-04,5050,5075,4870,4980
2026-03-05,5025,5125,5000,5125
2026-03-06,5075,5100,4950,4980
2026-03-09,4800,4870,4780,4820
2026-03-10,4920,4990,4860,4910
2026-03-11,4930,4970,4880,4880
2026-03-12,4870,4980,4870,4960
2026-03-13,4900,4920,4750,4750
2026-03-16,4730,4740,4630,4700
2026-03-17,4750,4780,4710,4730
2026-03-25,4650,4970,4650,4970
2026-03-26,4970,4980,4840,4840
2026-03-27,4840,4870,4760,4760
2026-03-30,4710,4750,4690,4700
2026-03-31,4710,4790,4700,4720
2026-04-01,4800,4830,4680,4720
2026-04-02,4720,4730,4640,4650
2026-04-06,4650,4700,4600,4610
2026-04-07,4600,4610,4500,4510
2026-04-08,4670,4700,4630,4670
2026-04-09,4650,4650,4570,4570
2026-04-10,4580,4700,4580,4670
2026-04-13,4640,4660,4600,4600
2026-04-14,4670,4720,4650,4710
2026-04-15,4750,4770,4640,4650
2026-04-16,4680,4680,4620,4640
2026-04-17,4670,4700,4580,4620
2026-04-20,4640,4670,4590,4620
2026-04-21,4610,4700,4610,4700
2026-04-22,4700,4770,4700,4750
2026-04-23,4760,4770,4630,4630
2026-04-24,4630,4630,4490,4500
2026-04-27,4500,4510,4360,4400
2026-04-28,4420,4480,4350,4430
2026-04-29,4440,4530,4430,4430
2026-04-30,4430,4450,4370,4390
2026-05-04,4430,4470,4410,4420
2026-05-05,4420,4570,4410,4490
2026-05-06,4530,4550,4480,4510
2026-05-07,4570,4640,4550,4640
2026-05-08,4650,4710,4620,4630
2026-05-11,4310,4340,4250,4250
2026-05-12,4270,4270,4190,4240
2026-05-13,4230,4250,4190,4200
2026-05-14,4200,4200,4200,4200
2026-05-15,4200,4200,4200,4200
2026-05-18,4170,4170,4080,4130
2026-05-19,4130,4260,4100,4130
2026-05-20,4150,4290,4110,4230
2026-05-21,4280,4280,4130,4170
2026-05-22,4140,4150,4040,4120
2026-05-25,4160,4300,4130,4220
2026-05-26,4210,4220,4130,4130
2026-05-27,4130,4130,4130,4130
2026-05-28,4130,4130,4130,4130
2026-05-29,4120,4190,4080,4080
2026-06-02,4090,4190,4090,4170
2026-06-03,4200,4200,4020,4050
2026-06-04,4050,4060,3930,3970
2026-06-05,3900,3950,3820,3840
2026-06-08,3810,3900,3700,3710
2026-06-09,3650,4090,3650,4090
2026-06-10,4100,4260,4050,4260
2026-06-11,4260,4340,4140,4250
2026-06-12,4320,4320,4200,4200
2026-06-15,4300,4500,4300,4500
2026-06-17,4500,4570,4390,4490
2026-06-18,4440,4470,4340,4470
2026-06-19,4390,4470,4300,4310
