Date,Open,High,Low,Close
2021-08-18,3627,3718,3573,3700
2021-08-19,3636,3654,3509,3527
2021-08-20,3527,3582,3482,3573
2021-08-23,3618,3627,3573,3600
2021-08-24,3591,3600,3482,3536
2021-08-25,3500,3545,3500,3536
2021-08-26,3536,3545,3491,3518
2021-08-27,3536,3536,3482,3491
2021-08-30,3500,3582,3491,3582
2021-08-31,3582,3591,3518,3573
2021-09-01,3573,3573,3527,3536
2021-09-02,3509,3536,3491,3518
2021-09-03,3500,3573,3464,3573
2021-09-06,3591,3618,3500,3500
2021-09-07,3536,3564,3518,3554
2021-09-08,3820,3880,3720,3730
2021-09-09,3700,3770,3650,3730
2021-09-10,3710,3790,3670,3780
2021-09-13,3710,3750,3660,3700
2021-09-14,3720,3730,3660,3700
2021-09-15,3670,3670,3620,3660
2021-09-16,3650,3660,3610,3640
2021-09-17,3630,3640,3570,3610
2021-09-20,3590,3590,3510,3590
2021-09-21,3510,3580,3500,3570
2021-09-22,3520,3650,3520,3610
2021-09-23,3600,3770,3590,3770
2021-09-24,3790,3860,3770,3820
2021-09-27,3770,3800,3730,3750
2021-09-28,3770,3770,3690,3720
2021-09-29,3720,3750,3690,3740
2021-09-30,3760,3870,3750,3850
2021-10-01,3850,3920,3830,3900
2021-10-04,3900,4010,3890,3970
2021-10-05,3950,3980,3910,3930
2021-10-06,3920,4150,3920,4120
2021-10-07,4150,4170,4070,4120
2021-10-08,4190,4240,4130,4160
2021-10-11,4160,4200,4130,4180
2021-10-12,4180,4240,4180,4220
2021-10-13,4230,4300,4220,4280
2021-10-14,4280,4350,4230,4250
2021-10-15,4250,4330,4220,4320
2021-10-18,4350,4410,4340,4410
2021-10-19,4450,4450,4360,4400
2021-10-21,4450,4460,4320,4360
2021-10-22,4340,4400,4320,4400
2021-10-25,4330,4370,4300,4300
2021-10-26,4280,4370,4270,4350
2021-10-27,4330,4340,4260,4290
2021-10-28,4210,4300,4200,4240
2021-10-29,4300,4300,4220,4250
2021-11-01,4330,4330,4220,4230
2021-11-02,4270,4270,4210,4210
2021-11-03,4250,4300,4210,4290
2021-11-04,4330,4340,4250,4250
2021-11-05,4270,4270,4210,4240
2021-11-08,4250,4260,4220,4230
2021-11-09,4230,4250,4220,4250
2021-11-10,4230,4260,4210,4250
2021-11-11,4290,4300,4230,4250
2021-11-12,4270,4290,4210,4220
2021-11-15,4220,4220,4140,4160
2021-11-16,4120,4170,4120,4130
2021-11-17,4170,4200,4160,4200
2021-11-18,4150,4190,4140,4180
2021-11-19,4220,4290,4220,4280
2021-11-22,4310,4310,4250,4280
2021-11-23,4280,4280,4200,4210
2021-11-24,4200,4230,4190,4210
2021-11-25,4180,4250,4180,4220
2021-11-26,4190,4220,4150,4160
2021-11-29,4150,4190,4080,4170
2021-11-30,4150,4220,4090,4090
2021-12-01,4090,4180,4070,4080
2021-12-02,4060,4220,4060,4200
2021-12-03,4210,4220,4170,4170
2021-12-06,4200,4220,4110,4110
2021-12-07,4190,4230,4160,4230
2021-12-08,4250,4250,4170,4210
2021-12-09,4220,4220,4160,4190
2021-12-10,4130,4160,4130,4130
2021-12-13,4170,4200,4160,4160
2021-12-14,4150,4160,4130,4130
2021-12-15,4150,4230,4140,4200
2021-12-16,4220,4220,4120,4140
2021-12-17,4090,4140,4090,4110
2021-12-20,4070,4130,4060,4120
2021-12-21,4100,4120,4080,4080
2021-12-22,4100,4110,4050,4050
2021-12-23,4090,4110,4060,4100
2021-12-24,4100,4120,4050,4070
2021-12-27,4070,4110,4060,4060
2021-12-28,4090,4110,4070,4090
2021-12-29,4090,4100,4070,4080
2021-12-30,4080,4140,4060,4110
